CNAE,UF,score,ranking,count_contratos,valor_medio,n_orgaos
4763601,SP,100.0,130,28,62449.92857142857,10
4781400,SP,100.0,131,58,95370.6724137931,41
4789007,MG,100.0,132,12,148074.33333333334,10
3319800,SP,100.0,133,14,186655.07142857145,10
9001901,SP,100.0,134,99,104088.68686868688,32
9001906,ES,100.0,135,11,154331.81818181818,6
4520006,BA,100.0,136,10,1359577.8,7
7729202,GO,100.0,137,15,85712.0,11
7420001,RS,100.0,138,26,429409.3076923077,20
4924800,PB,100.0,139,22,1328426.181818182,7
7319002,GO,100.0,140,10,139517.7,8
4330405,SE,100.0,141,11,136406.45454545456,3
8230001,SC,100.0,142,18,405606.6666666667,16
4399103,MG,100.0,143,22,3636841.1818181816,15
4520003,GO,100.0,144,13,72151.53846153847,6
4330404,RS,100.0,145,33,6041260.454545454,24
8230001,SP,100.0,146,204,114479.47549019608,80
9001902,MG,100.0,147,239,206142.94142259413,119
4520001,MG,100.0,148,24,772807.0833333334,17
4789002,RS,100.0,149,10,32400.0,7
9511800,76200019,100.0,150,15,16973.333333333332,6
4712100,SP,100.0,151,16,65632.25,4
9001902,BA,100.0,152,66,272994.8181818182,41
9001902,ES,100.0,153,134,130511.17164179104,32
4789007,SP,100.0,154,15,49485.93333333333,11
4330404,GO,100.0,155,14,135233.64285714287,11
4789002,GO,100.0,156,20,114400.55,7
3101200,RS,100.0,157,21,108170.0,15
8599604,MG,100.0,158,13,167629.07692307694,11
8592903,PR,100.0,159,24,500621.0,12
3101200,GO,100.0,160,12,261108.0,7
4713002,SP,100.0,161,12,9515.583333333334,4
4924800,GO,100.0,162,19,19996797.57894737,10
4520005,MG,100.0,163,10,457968.9,10
8599604,PR,100.0,164,15,268935.0,15
9001902,RN,100.0,165,34,95911.76470588236,21
5611203,GO,100.0,166,18,24367.777777777777,8
8219999,GO,100.0,167,35,235114.14285714287,27
9001901,PR,100.0,168,142,80620.58450704225,7
4923001,BA,100.0,169,31,4301728.387096774,3
4322302,MG,100.0,170,10,179802.8,10
2542000,GO,100.0,171,19,33449.84210526316,9
2542000,RS,100.0,172,10,170062.9,8
9001902,PR,100.0,173,110,270499.9181818181,41
7319099,RS,100.0,174,10,73900.0,7
5812301,GO,100.0,175,13,100834.6153846154,7
9511800,GO,100.0,176,20,235214.35,17
8230002,RS,100.0,177,12,28875.0,5
