CNAE,UF,count_contratos,valor_total,valor_medio,n_orgaos,n_meis,share_cnae,share_uf,log_valor_medio,log_valor_total,log_count,diversidade_orgaos,densidade_mei,target
9001902,SC,89,20664948.0,232190.4269662921,51,72,0.1207291091296457,0.043951708356348144,12.3553174266612,16.84394953798396,4.499809670330265,0.42857142857142855,0.8089887640449438,1
7420001,MT,1,72000.0,72000.0,1,1,0.008916594334411741,0.004576659038901602,11.184435286790631,11.184435286790631,0.6931471805599453,0.008403361344537815,1.0,0
8230001,BA,40,20978079.0,524451.975,31,30,0.05420973723664484,0.0658881085772903,13.170111045983061,16.85898864101534,3.713572066704308,0.2605042016806723,0.75,1
9521500,SP,32,1127278.0,35227.4375,17,15,0.004734474867829243,0.25392566874457506,10.469608918946678,13.935317322277541,3.4965075614664802,0.14285714285714285,0.46875,1
7420004,PR,5,1373500.0,274700.0,4,4,0.004497751124437781,0.09776690602067388,12.52343851241165,14.132873512584183,1.791759469228055,0.03361344537815126,0.8,1
1531901,SP,2,17100.0,8550.0,1,1,0.00023672374339146217,0.25392566874457506,9.053803514155955,9.746892220313054,1.0986122886681098,0.008403361344537815,0.5,0
8230001,PB,16,4008076.0,250504.75,12,13,0.05420973723664484,0.017912096583287303,12.431237153335431,15.203822133139145,2.833213344056216,0.10084033613445378,0.8125,1
2539001,CE,2,241990.0,120995.0,2,2,0.004497751124437781,0.013887792945632447,11.703512766181216,12.39665581436461,1.0986122886681098,0.01680672268907563,1.0,0
3319800,PA,1,67000.0,67000.0,1,1,0.0018937899471316974,0.003629764065335753,11.112462823634855,11.112462823634855,0.6931471805599453,0.008403361344537815,1.0,0
7420001,SP,12,9418229.0,784852.4166666666,10,12,0.008916594334411741,0.25392566874457506,13.573252248967327,16.058157730808315,2.5649493574615367,0.08403361344537816,1.0,1
5611203,76280005,26,84410.0,3246.538461538461,1,1,0.010889292196007259,0.002051605776059339,8.085652591904479,11.343453003845157,3.295836866004329,0.008403361344537815,0.038461538461538464,1
9511800,DF,6,1883631.0,313938.5,5,2,0.012230726741892212,0.00654935690049712,12.656955571166911,14.448712385952186,1.9459101490553132,0.04201680672268908,0.3333333333333333,1
8230001,ES,25,3574100.0,142964.0,19,16,0.05420973723664484,0.02714432257555433,11.870355124039836,15.089224233955264,3.258096538021482,0.15966386554621848,0.64,1
4743100,MG,8,1170036.0,146254.5,7,5,0.0029985007496251873,0.1032115521186775,11.89311037122459,13.972545930205536,2.1972245773362196,0.058823529411764705,0.625,1
4759801,BA,11,1585721.0,144156.45454545456,5,2,0.0024461453483784422,0.0658881085772903,11.878661415537653,14.27655038208028,2.4849066497880004,0.04201680672268908,0.18181818181818182,1
7729202,MT,1,174000.0,174000.0,1,1,0.005207922354612168,0.004576659038901602,12.066816325306588,12.066816325306588,0.6931471805599453,0.008403361344537815,1.0,0
4930201,SP,19,3808637.0,200454.57894736843,14,13,0.009074410163339383,0.25392566874457506,12.20834794979793,15.152782202876603,2.995732273553991,0.11764705882352941,0.6842105263157895,1
4520005,VILA NOVA,21,149250.0,7107.142857142857,1,1,0.027854493805728714,0.0016570662037402352,8.868996287151202,11.913384731399907,3.091042453358316,0.008403361344537815,0.047619047619047616,1
7729202,SP,13,42446491.0,3265114.6923076925,7,7,0.005207922354612168,0.25392566874457506,14.998805754156074,17.563754828908774,2.6390573296152584,0.058823529411764705,0.5384615384615384,1
8599604,80730460,1,120000.0,120000.0,1,1,0.010968200110471081,7.890791446382072e-05,11.695255355062795,11.695255355062795,0.6931471805599453,0.008403361344537815,1.0,0
4520005,SC,15,23567853.0,1571190.2,14,13,0.027854493805728714,0.043951708356348144,14.26734461575199,16.9753942228249,2.772588722239781,0.11764705882352941,0.8666666666666667,1
